"term","wikipedia_en","categories"
"Ab (Semitic)","https://en.wikipedia.org/wiki/Ab_(Semitic)#Judaism","names"
"Abiram","https://en.wikipedia.org/wiki/Abiram","biblicalNames"
"Adin","https://en.wikipedia.org/wiki/Adin","biblicalNames"
"Altar (Bible)","https://en.wikipedia.org/wiki/Altar_(Bible)#Altar_of_burnt_offering","concepts"
"Altar (Bible)","https://en.wikipedia.org/wiki/Altar_(Bible)#Altar_of_incense","concepts"
"Ammon","https://en.wikipedia.org/wiki/Ammon","biblicalNames;biblicalNations;biblicalPlaces"
"Anah","https://en.wikipedia.org/wiki/Anah","biblicalNames"
"Anammelech","https://en.wikipedia.org/wiki/Anammelech","biblicalNames"
"Bar Juchne","https://en.wikipedia.org/wiki/Bar_Juchne","names"
"Bedan","https://en.wikipedia.org/wiki/Bedan","biblicalNames"
"Biblical Egypt","https://en.wikipedia.org/wiki/Biblical_Egypt#In_the_Book_of_Genesis","biblicalNations;biblicalPlaces"
"Biblical Egypt","https://en.wikipedia.org/wiki/Biblical_Egypt","names"
"Bosor","https://en.wikipedia.org/wiki/Bosor","talmudToponyms"
"Caesar (title)","https://en.wikipedia.org/wiki/Caesar_(title)#Dynastic_title","names"
"Cyrus","https://en.wikipedia.org/wiki/Cyrus","biblicalNames"
"Dimi (rabbi)","https://en.wikipedia.org/wiki/Dimi_(rabbi)","names"
"Dobiel","https://en.wikipedia.org/wiki/Dobiel","names"
"Eliphaz (Job)","https://en.wikipedia.org/wiki/Eliphaz_(Job)","biblicalNames"
"Ephron","https://en.wikipedia.org/wiki/Ephron","biblicalNames"
"First Fruits","https://en.wikipedia.org/wiki/First_Fruits","concepts"
"Galilean","https://en.wikipedia.org/wiki/Galilean","biblicalNations"
"Ganzak","https://en.wikipedia.org/wiki/Ganzak","talmudToponyms"
"Hanani","https://en.wikipedia.org/wiki/Hanani","biblicalNames"
"Hepher","https://en.wikipedia.org/wiki/Hepher","biblicalNames"
"Hormizd","https://en.wikipedia.org/wiki/Hormizd","names"
"Immer","https://en.wikipedia.org/wiki/Immer","biblicalNames"
"Israelites","https://en.wikipedia.org/wiki/Israelites","concepts"
"Jared","https://en.wikipedia.org/wiki/Jared","biblicalNames"
"Jemima","https://en.wikipedia.org/wiki/Jemima","biblicalNames"
"Jewish views on sin","https://en.wikipedia.org/wiki/Jewish_views_on_sin","concepts"
"Joseph","https://en.wikipedia.org/wiki/Joseph","biblicalNames"
"Kohl (cosmetics)","https://en.wikipedia.org/wiki/Kohl_(cosmetics)","concepts"
"Kush (satrapy)","https://en.wikipedia.org/wiki/Kush_(satrapy)","biblicalNations;talmudToponyms"
"Levirate marriage","https://en.wikipedia.org/wiki/Levirate_marriage","concepts"
"List of minor Hebrew Bible figures, A–K","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","biblicalNames"
"List of minor Hebrew Bible figures, L–Z","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_L%E2%80%93Z#Tekoa","talmudToponyms"
"List of minor Hebrew Bible figures, L–Z","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_L%E2%80%93Z","biblicalNames"
"Madon","https://en.wikipedia.org/wiki/Madon","biblicalNames"
"Mahlon","https://en.wikipedia.org/wiki/Mahlon","biblicalNames"
"Manasseh","https://en.wikipedia.org/wiki/Manasseh","biblicalNames"
"Mata Mehasya","https://en.wikipedia.org/wiki/Mata_Mehasya","talmudToponyms"
"Media (region)","https://en.wikipedia.org/wiki/Media_(region)","talmudToponyms"
"Medieval French literature","https://en.wikipedia.org/wiki/Medieval_French_literature#The_Roman","biblicalNations"
"Menahem ben Hezekiah","https://en.wikipedia.org/wiki/Menahem_ben_Hezekiah","names"
"Mered","https://en.wikipedia.org/wiki/Mered","biblicalNames"
"Meshullam","https://en.wikipedia.org/wiki/Meshullam","biblicalNames"
"Micah","https://en.wikipedia.org/wiki/Micah","biblicalNames"
"Mount Horeb","https://en.wikipedia.org/wiki/Mount_Horeb","talmudToponyms"
"Neriah","https://en.wikipedia.org/wiki/Neriah","biblicalNames"
"Obadiah","https://en.wikipedia.org/wiki/Obadiah","biblicalNames"
"Parable","https://en.wikipedia.org/wiki/Parable","concepts"
"Reuben","https://en.wikipedia.org/wiki/Reuben","biblicalNames"
"Sakastan (Sasanian province)","https://en.wikipedia.org/wiki/Sakastan_(Sasanian_province)","talmudToponyms"
"Selamin","https://en.wikipedia.org/wiki/Selamin","talmudToponyms"
"Shallum","https://en.wikipedia.org/wiki/Shallum","biblicalNames"
"Sheshach","https://en.wikipedia.org/wiki/Sheshach","talmudToponyms"
"Simeon","https://en.wikipedia.org/wiki/Simeon","biblicalNames"
"Talmai","https://en.wikipedia.org/wiki/Talmai","biblicalNames"
"Timna","https://en.wikipedia.org/wiki/Timna","biblicalNames"
"World to come","https://en.wikipedia.org/wiki/World_to_come","concepts"
"Yoav","https://en.wikipedia.org/wiki/Yoav","biblicalNames"
"Zephania","https://en.wikipedia.org/wiki/Zephania","biblicalNames"
"Zibeon","https://en.wikipedia.org/wiki/Zibeon","biblicalNames"
